0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(11, 0.0)","(12, 0.0)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 1.0526315789473684)"
"(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(13, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 1.0526315789473684)","(14, 1.0526315789473684)"
"(13, 0.0)","(13, 0.0)","(13, 0.0)","(13, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(12, 0.0)","(13, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 1.0526315789473684)","(14, 1.0526315789473684)"
"(13, 0.0)","(13, 0.0)","(13, 0.0)","(13, 0.0)","(13, 0.0)","(13, 0.0)","(12, 0.0)","(12, 0.0)","(13, 0.0)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(14, 0.5263157894736842)","(15, 1.0526315789473684)","(15, 1.0526315789473684)"
"(14, 0.0)","(14, 0.0)","(14, 0.0)","(14, 0.0)","(13, 0.0)","(13, 0.0)","(13, 0.0)","(13, 0.0)","(13, 0.0)","(14, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 1.0526315789473684)","(15, 1.0526315789473684)","(15, 1.0526315789473684)","(15, 1.0526315789473684)"
"(14, 0.0)","(14, 0.0)","(14, 0.0)","(14, 0.0)","(14, 0.0)","(13, 0.0)","(13, 0.0)","(13, 0.0)","(13, 0.0)","(14, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 0.5263157894736842)","(15, 1.0526315789473684)","(15, 1.0526315789473684)","(15, 1.0526315789473684)","(15, 1.0526315789473684)"
"(15, 0.0)","(15, 0.0)","(15, 0.0)","(15, 0.0)","(14, 0.0)","(14, 0.0)","(13, 0.0)","(13, 0.0)","(14, 0.0)","(15, 0.5263157894736842)","(16, 0.5263157894736842)","(16, 0.5263157894736842)","(16, 0.5263157894736842)","(16, 0.5263157894736842)","(16, 0.5263157894736842)","(16, 0.5263157894736842)","(16, 1.0526315789473684)","(16, 1.0526315789473684)","(16, 1.0526315789473684)","(16, 1.0526315789473684)"
"(15, 0.0)","(15, 0.0)","(15, 0.0)","(15, 0.0)","(15, 0.0)","(14, 0.0)","(14, 0.0)","(14, 0.0)","(15, 0.0)","(16, 0.5263157894736842)","(16, 0.5263157894736842)","(17, 0.5263157894736842)","(17, 0.5263157894736842)","(17, 0.5263157894736842)","(17, 0.5263157894736842)","(17, 0.5263157894736842)","(17, 1.0526315789473684)","(17, 1.0526315789473684)","(17, 1.0526315789473684)","(17, 1.0526315789473684)"
"(16, 0.0)","(16, 0.0)","(16, 0.0)","(16, 0.0)","(16, 0.0)","(15, 0.0)","(15, 0.0)","(15, 0.0)","(15, 0.0)","(17, 0.5263157894736842)","(17, 0.5263157894736842)","(18, 0.5263157894736842)","(18, 0.5263157894736842)","(18, 0.5263157894736842)","(18, 0.5263157894736842)","(18, 0.5263157894736842)","(18, 0.5263157894736842)","(18, 1.0526315789473684)","(18, 1.0526315789473684)","(18, 1.0526315789473684)"
"(17, 0.0)","(17, 0.0)","(17, 0.0)","(17, 0.0)","(16, 0.0)","(16, 0.0)","(15, 0.0)","(15, 0.0)","(16, 0.0)","(17, 0.5263157894736842)","(18, 0.5263157894736842)","(18, 0.5263157894736842)","(19, 0.5263157894736842)","(19, 0.5263157894736842)","(19, 0.5263157894736842)","(19, 0.5263157894736842)","(19, 0.5263157894736842)","(19, 0.5263157894736842)","(19, 1.0526315789473684)","(19, 1.0526315789473684)"
